Año,Trimestre,Provincia,Velocidad (Mbps),Accesos
2017,4,Buenos Aires,0.256,114182
2017,4,Buenos Aires,0.512,3865
2017,4,Buenos Aires,1.0,35185
2017,4,Buenos Aires,1.2,19861
2017,4,Buenos Aires,2.2,29124
2017,4,Buenos Aires,3.2,26245
2017,4,Buenos Aires,4.0,142091
2017,4,Buenos Aires,4.5,3277
2017,4,Buenos Aires,6.0,4087
2017,4,Buenos Aires,6.4,1346370
2017,4,Buenos Aires,7.5,1764
2017,4,Buenos Aires,9.0,12080
2017,4,Buenos Aires,10.0,79
2017,4,Buenos Aires,10.1,250722
2017,4,Buenos Aires,12.0,4
2017,4,Buenos Aires,12.3,440198
2017,4,Buenos Aires,14.0,2
2017,4,Buenos Aires,15.0,1
2017,4,Buenos Aires,16.0,45163
2017,4,Buenos Aires,17.0,112
2017,4,Buenos Aires,19.0,51889
2017,4,Buenos Aires,20.5,175144
2017,4,Buenos Aires,22.0,1
2017,4,Buenos Aires,25.0,2
2017,4,Buenos Aires,25.1,153722
2017,4,Buenos Aires,31.0,183194
2017,4,Buenos Aires,41.0,13
2017,4,Buenos Aires,50.0,1
2017,4,Buenos Aires,50.1,124942
2017,4,Buenos Aires,61.0,1
2017,4,Buenos Aires,71.0,2
2017,4,Buenos Aires,97.0,1
2017,4,Buenos Aires,100.1,24786
2017,4,Buenos Aires,122.0,2
2017,4,Buenos Aires,155.0,220
2017,4,Capital Federal,0.512,314
2017,4,Capital Federal,1.0,701
2017,4,Capital Federal,1.2,30710
2017,4,Capital Federal,2.2,788
2017,4,Capital Federal,3.2,1892
2017,4,Capital Federal,4.0,4051
2017,4,Capital Federal,4.5,1049
2017,4,Capital Federal,6.0,5774
2017,4,Capital Federal,6.4,503464
2017,4,Capital Federal,7.5,19
2017,4,Capital Federal,9.0,922
2017,4,Capital Federal,10.0,5
2017,4,Capital Federal,10.1,283094
2017,4,Capital Federal,12.0,5
2017,4,Capital Federal,12.3,290212
2017,4,Capital Federal,16.0,1217
2017,4,Capital Federal,17.0,3
2017,4,Capital Federal,18.0,1
2017,4,Capital Federal,19.0,40974
2017,4,Capital Federal,20.5,125708
2017,4,Capital Federal,25.0,1
2017,4,Capital Federal,25.1,117018
2017,4,Capital Federal,31.0,62693
2017,4,Capital Federal,36.0,7
2017,4,Capital Federal,41.0,22
2017,4,Capital Federal,50.1,91194
2017,4,Capital Federal,61.0,8
2017,4,Capital Federal,66.0,1
2017,4,Capital Federal,71.0,5
2017,4,Capital Federal,81.0,2
2017,4,Capital Federal,100.1,19785
2017,4,Capital Federal,120.0,2
2017,4,Capital Federal,122.0,6
2017,4,Capital Federal,131.0,2
2017,4,Capital Federal,155.0,2589
2017,4,Catamarca,0.256,2151
2017,4,Catamarca,0.512,34
2017,4,Catamarca,1.0,1
2017,4,Catamarca,1.2,3181
2017,4,Catamarca,3.2,43
2017,4,Catamarca,4.0,198
2017,4,Catamarca,6.4,15074
2017,4,Catamarca,10.1,5904
2017,4,Catamarca,16.0,2
2017,4,Catamarca,20.5,2925
2017,4,Catamarca,31.0,43
2017,4,Catamarca,155.0,2
2017,4,Chaco,0.256,1035
2017,4,Chaco,0.512,70
2017,4,Chaco,1.0,1
2017,4,Chaco,1.2,3431
2017,4,Chaco,2.2,22
2017,4,Chaco,3.2,34
2017,4,Chaco,4.0,1310
2017,4,Chaco,4.5,6536
2017,4,Chaco,6.0,8
2017,4,Chaco,6.4,29234
2017,4,Chaco,9.0,8917
2017,4,Chaco,10.1,15171
2017,4,Chaco,12.3,8521
2017,4,Chaco,16.0,26
2017,4,Chaco,19.0,723
2017,4,Chaco,20.5,10853
2017,4,Chaco,25.1,6646
2017,4,Chaco,31.0,688
2017,4,Chaco,36.0,522
2017,4,Chaco,46.0,107
2017,4,Chaco,50.1,2297
2017,4,Chaco,100.1,259
2017,4,Chaco,155.0,60
2017,4,Chubut,0.512,67
2017,4,Chubut,1.0,3086
2017,4,Chubut,1.2,1227
2017,4,Chubut,2.2,1104
2017,4,Chubut,3.2,7760
2017,4,Chubut,4.0,8261
2017,4,Chubut,4.5,534
2017,4,Chubut,6.0,54
2017,4,Chubut,6.4,65963
2017,4,Chubut,9.0,2543
2017,4,Chubut,10.1,2812
2017,4,Chubut,12.3,4
2017,4,Chubut,16.0,3
2017,4,Chubut,25.1,3
2017,4,Chubut,31.0,2
2017,4,Chubut,50.1,9
2017,4,Cordoba,0.256,8429
2017,4,Cordoba,0.512,291
2017,4,Cordoba,1.0,3524
2017,4,Cordoba,1.2,21887
2017,4,Cordoba,2.2,1340
2017,4,Cordoba,3.2,6748
2017,4,Cordoba,4.0,59998
2017,4,Cordoba,4.5,2663
2017,4,Cordoba,6.0,5115
2017,4,Cordoba,6.4,204973
2017,4,Cordoba,7.5,133
2017,4,Cordoba,9.0,10535
2017,4,Cordoba,10.1,92224
2017,4,Cordoba,12.0,2
2017,4,Cordoba,12.3,135753
2017,4,Cordoba,16.0,1093
2017,4,Cordoba,19.0,15370
2017,4,Cordoba,20.5,65384
2017,4,Cordoba,25.1,36394
2017,4,Cordoba,31.0,4651
2017,4,Cordoba,50.1,19186
2017,4,Cordoba,66.0,1
2017,4,Cordoba,71.0,1
2017,4,Cordoba,100.1,2577
2017,4,Cordoba,155.0,2339
2017,4,Corrientes,0.512,11
2017,4,Corrientes,1.2,5220
2017,4,Corrientes,2.2,1337
2017,4,Corrientes,3.2,43
2017,4,Corrientes,4.0,793
2017,4,Corrientes,4.5,6923
2017,4,Corrientes,6.0,1
2017,4,Corrientes,6.4,31983
2017,4,Corrientes,9.0,8585
2017,4,Corrientes,10.1,15101
2017,4,Corrientes,12.3,7353
2017,4,Corrientes,16.0,21
2017,4,Corrientes,19.0,717
2017,4,Corrientes,20.5,7955
2017,4,Corrientes,25.1,4860
2017,4,Corrientes,31.0,207
2017,4,Corrientes,36.0,488
2017,4,Corrientes,46.0,131
2017,4,Corrientes,50.1,1814
2017,4,Corrientes,100.1,216
2017,4,Corrientes,155.0,12
2017,4,Entre Rios,0.512,1685
2017,4,Entre Rios,1.0,7
2017,4,Entre Rios,1.2,9071
2017,4,Entre Rios,2.2,3420
2017,4,Entre Rios,3.2,1903
2017,4,Entre Rios,4.0,14662
2017,4,Entre Rios,4.5,11377
2017,4,Entre Rios,6.0,984
2017,4,Entre Rios,6.4,63120
2017,4,Entre Rios,9.0,12885
2017,4,Entre Rios,10.0,1
2017,4,Entre Rios,10.1,32303
2017,4,Entre Rios,12.3,14708
2017,4,Entre Rios,16.0,19
2017,4,Entre Rios,19.0,1007
2017,4,Entre Rios,20.5,14276
2017,4,Entre Rios,25.1,7704
2017,4,Entre Rios,31.0,273
2017,4,Entre Rios,36.0,335
2017,4,Entre Rios,46.0,58
2017,4,Entre Rios,50.1,2721
2017,4,Entre Rios,71.0,1
2017,4,Entre Rios,100.1,319
2017,4,Entre Rios,155.0,660
2017,4,Formosa,0.512,1110
2017,4,Formosa,1.0,191
2017,4,Formosa,1.2,3870
2017,4,Formosa,2.2,122
2017,4,Formosa,3.2,342
2017,4,Formosa,4.0,1202
2017,4,Formosa,6.0,52
2017,4,Formosa,6.4,11502
2017,4,Formosa,9.0,1
2017,4,Formosa,10.1,4866
2017,4,Formosa,12.3,1638
2017,4,Formosa,16.0,2
2017,4,Formosa,19.0,29
2017,4,Formosa,20.5,5327
2017,4,Formosa,25.1,397
2017,4,Formosa,31.0,584
2017,4,Formosa,50.1,776
2017,4,Formosa,100.1,31
2017,4,Formosa,155.0,13
2017,4,Jujuy,0.512,345
2017,4,Jujuy,1.0,2153
2017,4,Jujuy,1.2,3211
2017,4,Jujuy,3.2,13
2017,4,Jujuy,4.0,9511
2017,4,Jujuy,6.4,17042
2017,4,Jujuy,9.0,36
2017,4,Jujuy,10.1,7685
2017,4,Jujuy,16.0,15
2017,4,Jujuy,20.5,3492
2017,4,Jujuy,31.0,44
2017,4,Jujuy,155.0,3
2017,4,La Pampa,0.256,3503
2017,4,La Pampa,0.512,310
2017,4,La Pampa,1.0,7350
2017,4,La Pampa,1.2,1379
2017,4,La Pampa,2.2,1213
2017,4,La Pampa,3.2,3635
2017,4,La Pampa,4.0,43451
2017,4,La Pampa,4.5,1
2017,4,La Pampa,6.0,4979
2017,4,La Pampa,6.4,12774
2017,4,La Pampa,9.0,1129
2017,4,La Pampa,10.1,98
2017,4,La Pampa,12.3,430
2017,4,La Pampa,16.0,343
2017,4,La Pampa,19.0,10
2017,4,La Pampa,20.5,9
2017,4,La Pampa,25.1,390
2017,4,La Pampa,31.0,11
2017,4,La Pampa,50.1,68
2017,4,La Pampa,100.1,3
2017,4,La Rioja,0.512,9
2017,4,La Rioja,1.0,1
2017,4,La Rioja,1.2,1487
2017,4,La Rioja,3.2,2
2017,4,La Rioja,4.0,31591
2017,4,La Rioja,6.4,9184
2017,4,La Rioja,10.1,4083
2017,4,La Rioja,16.0,3650
2017,4,La Rioja,20.5,2163
2017,4,La Rioja,31.0,24
2017,4,La Rioja,50.1,1
2017,4,Mendoza,0.512,26
2017,4,Mendoza,1.0,14
2017,4,Mendoza,1.2,1642
2017,4,Mendoza,2.2,2228
2017,4,Mendoza,3.2,3326
2017,4,Mendoza,4.0,13169
2017,4,Mendoza,4.5,255
2017,4,Mendoza,6.4,158668
2017,4,Mendoza,9.0,13
2017,4,Mendoza,10.0,250
2017,4,Mendoza,10.1,175
2017,4,Mendoza,12.3,78
2017,4,Mendoza,16.0,63
2017,4,Mendoza,20.5,137
2017,4,Mendoza,25.1,20
2017,4,Mendoza,31.0,28
2017,4,Mendoza,50.1,56
2017,4,Mendoza,100.1,6
2017,4,Misiones,0.512,1053
2017,4,Misiones,1.2,3900
2017,4,Misiones,2.2,18
2017,4,Misiones,3.2,1909
2017,4,Misiones,4.0,7
2017,4,Misiones,4.5,4631
2017,4,Misiones,6.0,10
2017,4,Misiones,6.4,35148
2017,4,Misiones,9.0,7414
2017,4,Misiones,10.1,15717
2017,4,Misiones,12.3,12350
2017,4,Misiones,16.0,6
2017,4,Misiones,19.0,816
2017,4,Misiones,20.5,9090
2017,4,Misiones,25.1,8585
2017,4,Misiones,31.0,525
2017,4,Misiones,36.0,96
2017,4,Misiones,46.0,21
2017,4,Misiones,50.1,2348
2017,4,Misiones,100.1,233
2017,4,Misiones,155.0,18
2017,4,Neuquen,0.256,6105
2017,4,Neuquen,0.512,1396
2017,4,Neuquen,1.0,1075
2017,4,Neuquen,1.2,1297
2017,4,Neuquen,2.2,212
2017,4,Neuquen,3.2,316
2017,4,Neuquen,4.0,26902
2017,4,Neuquen,4.5,104
2017,4,Neuquen,6.0,122
2017,4,Neuquen,6.4,40380
2017,4,Neuquen,9.0,808
2017,4,Neuquen,10.1,517
2017,4,Neuquen,12.3,20777
2017,4,Neuquen,16.0,7
2017,4,Neuquen,19.0,1863
2017,4,Neuquen,20.5,134
2017,4,Neuquen,25.1,7327
2017,4,Neuquen,31.0,242
2017,4,Neuquen,50.1,5579
2017,4,Neuquen,100.1,680
2017,4,Rio Negro,0.256,3719
2017,4,Rio Negro,0.512,409
2017,4,Rio Negro,1.0,198
2017,4,Rio Negro,1.2,5400
2017,4,Rio Negro,2.2,2161
2017,4,Rio Negro,3.2,525
2017,4,Rio Negro,4.0,3939
2017,4,Rio Negro,4.5,267
2017,4,Rio Negro,6.0,838
2017,4,Rio Negro,6.4,73348
2017,4,Rio Negro,9.0,73
2017,4,Rio Negro,10.1,412
2017,4,Rio Negro,12.3,11382
2017,4,Rio Negro,16.0,21
2017,4,Rio Negro,19.0,1020
2017,4,Rio Negro,20.5,79
2017,4,Rio Negro,25.1,3354
2017,4,Rio Negro,31.0,128
2017,4,Rio Negro,41.0,2
2017,4,Rio Negro,50.1,2158
2017,4,Rio Negro,100.1,245
2017,4,Salta,0.512,636
2017,4,Salta,1.0,132
2017,4,Salta,1.2,4143
2017,4,Salta,2.2,15
2017,4,Salta,3.2,158
2017,4,Salta,4.0,21608
2017,4,Salta,6.0,6
2017,4,Salta,6.4,51497
2017,4,Salta,9.0,7733
2017,4,Salta,10.1,25109
2017,4,Salta,12.3,5668
2017,4,Salta,16.0,189
2017,4,Salta,20.5,13111
2017,4,Salta,25.1,3229
2017,4,Salta,31.0,359
2017,4,Salta,50.1,45
2017,4,Salta,155.0,10
2017,4,San Juan,0.512,22
2017,4,San Juan,1.0,1031
2017,4,San Juan,1.2,31
2017,4,San Juan,3.2,27
2017,4,San Juan,4.0,1677
2017,4,San Juan,6.0,1
2017,4,San Juan,6.4,55820
2017,4,San Juan,9.0,1
2017,4,San Juan,10.1,8
2017,4,San Juan,31.0,4
2017,4,San Luis,0.256,1902
2017,4,San Luis,0.512,59
2017,4,San Luis,1.0,1
2017,4,San Luis,1.2,100
2017,4,San Luis,3.2,5
2017,4,San Luis,4.0,1136
2017,4,San Luis,6.0,1
2017,4,San Luis,6.4,11680
2017,4,San Luis,9.0,7
2017,4,San Luis,10.1,1
2017,4,San Luis,25.1,1
2017,4,San Luis,31.0,7
2017,4,Santa Cruz,0.512,68
2017,4,Santa Cruz,1.2,78
2017,4,Santa Cruz,2.2,143
2017,4,Santa Cruz,3.2,2972
2017,4,Santa Cruz,4.0,6294
2017,4,Santa Cruz,6.0,1610
2017,4,Santa Cruz,6.4,18054
2017,4,Santa Cruz,9.0,2
2017,4,Santa Cruz,10.1,653
2017,4,Santa Cruz,16.0,66
2017,4,Santa Cruz,20.5,34
2017,4,Santa Cruz,31.0,1
2017,4,Santa Cruz,41.0,3
2017,4,Santa Fe,0.256,14119
2017,4,Santa Fe,0.512,3109
2017,4,Santa Fe,1.0,7637
2017,4,Santa Fe,1.2,26495
2017,4,Santa Fe,2.2,3994
2017,4,Santa Fe,3.2,10009
2017,4,Santa Fe,4.0,93221
2017,4,Santa Fe,4.5,8068
2017,4,Santa Fe,6.0,3785
2017,4,Santa Fe,6.4,190921
2017,4,Santa Fe,7.5,45
2017,4,Santa Fe,9.0,28663
2017,4,Santa Fe,10.1,80231
2017,4,Santa Fe,12.3,81931
2017,4,Santa Fe,14.0,1
2017,4,Santa Fe,16.0,5213
2017,4,Santa Fe,19.0,8289
2017,4,Santa Fe,20.5,55895
2017,4,Santa Fe,22.0,24
2017,4,Santa Fe,25.1,27074
2017,4,Santa Fe,31.0,3877
2017,4,Santa Fe,36.0,387
